,0
0,Dataset2/digits/666/DLEB213_200_30_20_054.bmp
1,Dataset2/digits/666/DLEB211_200_30_12_054.bmp
2,Dataset2/digits/666/BWEB211_200_30_14_054.bmp
3,Dataset2/digits/666/ASES211_200_31_14_054.bmp
4,Dataset2/digits/666/ASES213_200_31_22_054.bmp
5,Dataset2/digits/666/ASEB211_200_30_14_054.bmp
6,Dataset2/digits/666/ASEB211_200_30_10_054.bmp
7,Dataset2/digits/666/BWEB212_200_30_18_054.bmp
8,Dataset2/digits/666/ASES213_200_31_20_054.bmp
9,Dataset2/digits/666/DLEB211_200_30_10_054.bmp
10,Dataset2/digits/666/DLEB211_200_30_14_054.bmp
11,Dataset2/digits/666/DLEB212_200_30_16_054.bmp
12,Dataset2/digits/666/CDEB211_200_30_12_054.bmp
13,Dataset2/digits/666/ASEB211_200_30_08_054.bmp
14,Dataset2/digits/666/CDEB212_200_30_16_054.bmp
15,Dataset2/digits/666/bwes213_200_31_22_054.bmp
16,Dataset2/digits/666/bweb213_200_30_20_054.bmp
17,Dataset2/digits/666/DLEB213_200_30_22_054.bmp
18,Dataset2/digits/666/CDEB213_200_30_20_054.bmp
19,Dataset2/digits/666/DLES211_200_31_12_054.bmp
20,Dataset2/digits/666/BWEB211_200_30_08_054.bmp
21,Dataset2/digits/666/BWES212_200_31_16_054.bmp
22,Dataset2/digits/666/DLES211_200_31_08_054.bmp
23,Dataset2/digits/666/ASEB213_200_30_20_054.bmp
24,Dataset2/digits/666/CDEB211_200_30_14_054.bmp
25,Dataset2/digits/666/bwes213_200_31_20_054.bmp
26,Dataset2/digits/666/CDES212_200_31_18_054.bmp
27,Dataset2/digits/666/ASEB211_200_30_12_054.bmp
28,Dataset2/digits/666/BWES211_200_31_10_054.bmp
29,Dataset2/digits/666/BWEB212_200_30_16_054.bmp
30,Dataset2/digits/666/CDES211_200_31_14_054.bmp
31,Dataset2/digits/666/BWES211_200_31_14_054.bmp
32,Dataset2/digits/666/bweb213_200_30_22_054.bmp
33,Dataset2/digits/666/ASEB212_200_30_18_054.bmp
34,Dataset2/digits/666/BWES211_200_31_12_054.bmp
35,Dataset2/digits/666/ASES211_200_31_10_054.bmp
36,Dataset2/digits/666/BWES211_200_31_08_054.bmp
37,Dataset2/digits/666/CDEB213_200_30_22_054.bmp
38,Dataset2/digits/666/CDES213_200_31_20_054.bmp
39,Dataset2/digits/666/ASES211_200_31_08_054.bmp
40,Dataset2/digits/666/CDES212_200_31_16_054.bmp
41,Dataset2/digits/666/CDES211_200_31_12_054.bmp
42,Dataset2/digits/666/ASEB213_200_30_22_054.bmp
43,Dataset2/digits/666/DLES211_200_31_14_054.bmp
44,Dataset2/digits/666/DLEB212_200_30_18_054.bmp
45,Dataset2/digits/666/BWEB211_200_30_10_054.bmp
46,Dataset2/digits/666/ASES212_200_31_18_054.bmp
47,Dataset2/digits/666/DLEB211_200_30_08_054.bmp
48,Dataset2/digits/666/DLES211_200_31_10_054.bmp
49,Dataset2/digits/666/ASES211_200_31_12_054.bmp
50,Dataset2/digits/666/CDES213_200_31_22_054.bmp
51,Dataset2/digits/666/CDES211_200_31_10_054.bmp
52,Dataset2/digits/666/BWEB211_200_30_12_054.bmp
53,Dataset2/digits/666/BWES212_200_31_18_054.bmp
54,Dataset2/digits/666/ASES212_200_31_16_054.bmp
55,Dataset2/digits/666/CDEB211_200_30_08_054.bmp
56,Dataset2/digits/666/CDEB212_200_30_18_054.bmp
57,Dataset2/digits/666/CDEB211_200_30_10_054.bmp
58,Dataset2/digits/666/ASEB212_200_30_16_054.bmp
59,Dataset2/digits/666/CDES211_200_31_08_054.bmp
60,Dataset2/digits/000/CDES213_200_31_22_048.bmp
61,Dataset2/digits/000/ASEB212_200_30_16_048.bmp
62,Dataset2/digits/000/CDEB213_200_30_20_048.bmp
63,Dataset2/digits/000/ASES213_200_31_22_048.bmp
64,Dataset2/digits/000/BWES211_200_31_12_048.bmp
65,Dataset2/digits/000/ASES212_200_31_16_048.bmp
66,Dataset2/digits/000/DLES211_200_31_10_048.bmp
67,Dataset2/digits/000/DLES211_200_31_08_048.bmp
68,Dataset2/digits/000/CDES211_200_31_14_048.bmp
69,Dataset2/digits/000/CDEB213_200_30_22_048.bmp
70,Dataset2/digits/000/DLEB211_200_30_14_048.bmp
71,Dataset2/digits/000/ASEB213_200_30_22_048.bmp
72,Dataset2/digits/000/DLES211_200_31_14_048.bmp
73,Dataset2/digits/000/CDEB211_200_30_10_048.bmp
74,Dataset2/digits/000/ASEB211_200_30_10_048.bmp
75,Dataset2/digits/000/BWES211_200_31_14_048.bmp
76,Dataset2/digits/000/bweb213_200_30_20_048.bmp
77,Dataset2/digits/000/DLEB211_200_30_12_048.bmp
78,Dataset2/digits/000/ASES211_200_31_10_048.bmp
79,Dataset2/digits/000/DLEB213_200_30_22_048.bmp
80,Dataset2/digits/000/DLEB212_200_30_16_048.bmp
81,Dataset2/digits/000/ASEB211_200_30_08_048.bmp
82,Dataset2/digits/000/BWEB211_200_30_08_048.bmp
83,Dataset2/digits/000/ASES211_200_31_12_048.bmp
84,Dataset2/digits/000/DLEB211_200_30_10_048.bmp
85,Dataset2/digits/000/BWEB212_200_30_18_048.bmp
86,Dataset2/digits/000/CDES212_200_31_16_048.bmp
87,Dataset2/digits/000/CDES211_200_31_08_048.bmp
88,Dataset2/digits/000/DLEB211_200_30_08_048.bmp
89,Dataset2/digits/000/CDES213_200_31_20_048.bmp
90,Dataset2/digits/000/CDES211_200_31_10_048.bmp
91,Dataset2/digits/000/bwes213_200_31_22_048.bmp
92,Dataset2/digits/000/bweb213_200_30_22_048.bmp
93,Dataset2/digits/000/CDEB211_200_30_12_048.bmp
94,Dataset2/digits/000/BWEB211_200_30_10_048.bmp
95,Dataset2/digits/000/BWES211_200_31_10_048.bmp
96,Dataset2/digits/000/BWEB211_200_30_14_048.bmp
97,Dataset2/digits/000/bwes213_200_31_20_048.bmp
98,Dataset2/digits/000/ASEB211_200_30_14_048.bmp
99,Dataset2/digits/000/DLEB212_200_30_18_048.bmp
100,Dataset2/digits/000/CDES211_200_31_12_048.bmp
101,Dataset2/digits/000/BWEB211_200_30_12_048.bmp
102,Dataset2/digits/000/ASES212_200_31_18_048.bmp
103,Dataset2/digits/000/ASEB211_200_30_12_048.bmp
104,Dataset2/digits/000/CDEB212_200_30_16_048.bmp
105,Dataset2/digits/000/CDEB211_200_30_08_048.bmp
106,Dataset2/digits/000/DLES211_200_31_12_048.bmp
107,Dataset2/digits/000/DLEB213_200_30_20_048.bmp
108,Dataset2/digits/000/BWES212_200_31_16_048.bmp
109,Dataset2/digits/000/BWES211_200_31_08_048.bmp
110,Dataset2/digits/000/CDEB211_200_30_14_048.bmp
111,Dataset2/digits/000/BWEB212_200_30_16_048.bmp
112,Dataset2/digits/000/ASEB213_200_30_20_048.bmp
113,Dataset2/digits/000/ASES213_200_31_20_048.bmp
114,Dataset2/digits/000/CDEB212_200_30_18_048.bmp
115,Dataset2/digits/000/CDES212_200_31_18_048.bmp
